Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;00;Aeugst am Albis;1;ZH;2679402.872;1235842.010;de;2008-07-01
Aeugstertal;8914;02;Aeugst am Albis;1;ZH;2679815.372;1237404.310;de;2008-07-01
Zwillikon;8909;00;Affoltern am Albis;2;ZH;2675280.133;1238108.286;de;2008-07-01
Affoltern am Albis;8910;00;Affoltern am Albis;2;ZH;2676852.012;1236929.718;de;2008-07-01
Bonstetten;8906;00;Bonstetten;3;ZH;2677412.150;1241078.278;de;2008-07-01
Sihlbrugg;6340;04;Hausen am Albis;4;ZH;2686082.431;1230649.176;de;2008-07-01
Langnau am Albis;8135;00;Hausen am Albis;4;ZH;2682031.828;1235594.870;de;2008-07-01
Hausen am Albis;8915;00;Hausen am Albis;4;ZH;2682851.794;1233662.737;de;2008-07-01
Ebertswil;8925;00;Hausen am Albis;4;ZH;2684421.805;1231375.039;de;2008-07-01
Hedingen;8908;00;Hedingen;5;ZH;2676516.423;1239543.573;de;2008-07-01
Kappel am Albis;8926;00;Kappel am Albis;6;ZH;2681771.501;1231404.158;de;2008-07-01
Hauptikon;8926;02;Kappel am Albis;6;ZH;2679950.610;1231828.879;de;2008-07-01
Uerzlikon;8926;03;Kappel am Albis;6;ZH;2680321.762;1230229.033;de;2008-07-01
Knonau;8934;00;Knonau;7;ZH;2677587.649;1230879.646;de;2008-07-01
Maschwanden;8933;00;Maschwanden;8;ZH;2675132.724;1232112.741;de;2008-07-01
Mettmenstetten;8932;00;Mettmenstetten;9;ZH;2677789.998;1233600.220;de;2008-07-01
Affoltern am Albis;8910;00;Obfelden;10;ZH;2675665.187;1236090.022;de;2008-07-01
Obfelden;8912;00;Obfelden;10;ZH;2674456.245;1234854.065;de;2008-07-01
Ottenbach;8913;00;Ottenbach;11;ZH;2673382.535;1237139.777;de;2008-07-01
Rifferswil;8911;00;Rifferswil;12;ZH;2679965.450;1233269.319;de;2008-07-01
Adliswil;8134;00;Stallikon;13;ZH;2680696.736;1240684.937;de;2008-07-01
Stallikon;8143;00;Stallikon;13;ZH;2679441.380;1242625.820;de;2008-07-01
Uetliberg;8143;02;Stallikon;13;ZH;2679573.189;1244717.829;de;2008-07-01
Wettswil;8907;00;Wettswil am Albis;14;ZH;2677993.454;1243461.551;de;2008-07-01
Benken ZH;8463;00;Benken (ZH);22;ZH;2691357.350;1278833.315;de;2008-07-01
Berg am Irchel;8415;00;Berg am Irchel;23;ZH;2686327.191;1268659.976;de;2008-07-01
Gräslikon;8415;01;Berg am Irchel;23;ZH;2687796.479;1267906.254;de;2008-07-01
Buch am Irchel;8414;00;Buch am Irchel;24;ZH;2689314.064;1267314.778;de;2008-07-01
Dachsen;8447;00;Dachsen;25;ZH;2689068.453;1279684.813;de;2008-07-01
Dorf;8458;00;Dorf;26;ZH;2691097.997;1269654.271;de;2008-07-01
Feuerthalen;8245;00;Feuerthalen;27;ZH;2690508.331;1282739.757;de;2008-07-01
Langwiesen;8246;00;Feuerthalen;27;ZH;2691906.276;1282130.783;de;2008-07-01
Flaach;8416;00;Flaach;28;ZH;2687512.518;1270948.915;de;2008-07-01
Flurlingen;8247;00;Flurlingen;29;ZH;2689867.716;1282127.243;de;2008-07-01
Henggart;8444;00;Henggart;31;ZH;2693487.194;1268481.255;de;2008-07-01
Kleinandelfingen;8451;00;Kleinandelfingen;33;ZH;2693715.169;1273645.258;de;2008-07-01
Alten;8453;00;Kleinandelfingen;33;ZH;2690417.508;1272494.016;de;2008-07-01
Oerlingen;8461;00;Kleinandelfingen;33;ZH;2693132.640;1275464.005;de;2008-07-01
Nohl;8212;04;Laufen-Uhwiesen;34;ZH;2688008.348;1279837.932;de;2008-07-01
Uhwiesen;8248;00;Laufen-Uhwiesen;34;ZH;2690992.849;1280555.225;de;2008-07-01
Dachsen;8447;00;Laufen-Uhwiesen;34;ZH;2688246.724;1281212.309;de;2008-07-01
Marthalen;8460;00;Marthalen;35;ZH;2690209.819;1274873.843;de;2008-07-01
Ellikon am Rhein;8464;00;Marthalen;35;ZH;2687787.654;1273042.354;de;2008-07-01
Trüllikon;8466;00;Ossingen;37;ZH;2694052.571;1275700.287;de;2008-07-01
Ossingen;8475;00;Ossingen;37;ZH;2696481.980;1274194.070;de;2008-07-01
Rheinau;8462;00;Rheinau;38;ZH;2688648.129;1275885.416;de;2008-07-01
Ellikon am Rhein;8464;00;Rheinau;38;ZH;2687987.317;1273199.801;de;2008-07-01
Thalheim an der Thur;8478;00;Thalheim an der Thur;39;ZH;2698295.658;1270963.313;de;2008-07-01
Rudolfingen;8465;00;Trüllikon;40;ZH;2692631.492;1277112.489;de;2008-07-01
Wildensbuch;8465;01;Trüllikon;40;ZH;2693250.060;1278549.609;de;2008-07-01
Trüllikon;8466;00;Trüllikon;40;ZH;2694810.466;1276944.181;de;2008-07-01
Truttikon;8467;00;Truttikon;41;ZH;2697026.256;1276546.973;de;2008-07-01
Volken;8459;00;Volken;43;ZH;2689744.938;1270228.939;de;2008-07-01
